model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,350M,1,8192,8192,189.23519849777222,950.2464294433594,24.0,60.0,32.0,168.0,0.03125,16.0,116.0,LanguageModelEmbedding
gpt,350M,2,8192,8192,346.54080867767334,1179.2384147644043,48.0,112.0,64.0,204.0,0.0625,32.0,116.0,LanguageModelEmbedding
gpt,350M,1,16384,16384,320.30720710754395,1235.5584144592285,48.0,96.0,64.0,236.0,0.0625,32.0,132.0,LanguageModelEmbedding
gpt,350M,2,16384,16384,998.6047744750977,1796.9152450561523,96.0,224.0,128.0,308.0,0.125,64.0,132.0,LanguageModelEmbedding
gpt,350M,1,32768,32768,824.7296333312988,1801.625633239746,96.0,192.0,128.0,272.0,0.125,64.0,164.0,LanguageModelEmbedding
gpt,350M,2,32768,32768,2096.3327407836914,3049.6768951416016,192.0,448.0,256.0,412.0,0.25,128.0,164.0,LanguageModelEmbedding
gpt,350M,1,8192,8192,27739.544677734375,16330.95703125,1624.2890625,2375.7109375,8.15625,0.0,16.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,2,8192,8192,54093.206787109375,31222.991943359375,3232.328125,4767.671875,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,1,16384,16384,56022.6318359375,29629.644775390625,3232.328125,4767.671875,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,2,16384,16384,108060.6689453125,62203.2958984375,6464.65625,9535.34375,0.125,0.0,64.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,1,32768,32768,109717.71240234375,61676.13525390625,6464.65625,9535.34375,0.125,0.0,64.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,2,32768,32768,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,350M,1,8192,8192,1219.9935913085938,3164.3646240234375,108.5634765625,0.0,15.9375,0.0,16.0,16.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,2,8192,8192,2678.374481201172,6264.012908935547,241.1259765625,0.0,31.875,2.0,32.0,32.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,1,16384,16384,3911.065673828125,9769.369506835938,209.1259765625,324.8740234375,31.875,2.0,32.0,32.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,2,16384,16384,8359.117126464844,18779.34112548828,482.2509765625,403.7490234375,63.75,384.0,64.0,64.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,1,32768,32768,14492.877197265625,32446.054077148438,418.2509765625,157.7490234375,63.75,640.0,64.0,64.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,2,32768,32768,29680.026245117188,63916.64733886719,964.5009765625,315.4990234375,127.5,1280.0,128.0,128.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,1,8192,8192,779.2640209197998,1945.5999851226807,168.0625,0.0,15.9375,304.0,16.0,16.0,16.0,TELayerNormMlpDropout
gpt,350M,2,8192,8192,1850.7776260375977,3733.0942153930664,336.125,0.0,31.875,460.0,32.0,32.0,16.0,TELayerNormMlpDropout
gpt,350M,1,16384,16384,1853.4400939941406,3962.675094604492,336.125,0.0,31.875,460.0,32.0,32.0,16.0,TELayerNormMlpDropout
gpt,350M,2,16384,16384,3876.454544067383,7457.587051391602,672.25,0.0,63.75,812.0,64.0,64.0,16.0,TELayerNormMlpDropout
gpt,350M,1,32768,32768,3895.0912475585938,8111.309051513672,672.25,0.0,63.75,812.0,64.0,64.0,16.0,TELayerNormMlpDropout
gpt,350M,2,32768,32768,7842.201232910156,16156.877136230469,1344.5,63.5,127.5,1408.0,128.0,128.0,16.0,TELayerNormMlpDropout
gpt,350M,1,4096,4096,192.1023964881897,826.5727996826172,12.0,28.0,16.0,138.0,0.015625,8.0,108.0,LanguageModelEmbedding
gpt,350M,2,4096,4096,180.2240014076233,932.4543952941895,24.0,40.0,32.0,172.0,0.03125,16.0,108.0,LanguageModelEmbedding
gpt,350M,3,4096,4096,224.019193649292,1009.6639633178711,36.0,84.0,48.0,170.0,0.046875,24.0,108.0,LanguageModelEmbedding
gpt,350M,1,4096,4096,14002.790832519531,8373.861694335938,816.20703125,1203.79296875,8.140625,0.0,8.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,2,4096,4096,27779.6875,16112.02392578125,1616.1640625,2383.8359375,0.03125,0.0,16.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,3,4096,4096,41976.62658691406,23293.502807617188,2424.24609375,3575.75390625,0.046875,0.0,24.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,350M,1,4096,4096,891.0847663879395,1147.2895622253418,56.2822265625,0.0,7.96875,0.0,8.0,8.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,2,4096,4096,873.0751991271973,2256.6784858703613,120.5634765625,0.0,15.9375,0.0,16.0,16.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,3,4096,4096,1400.4223823547363,3348.4801292419434,180.8447265625,0.0,23.90625,0.0,24.0,24.0,8.0,TELayerNormSelfAttentionDropout
gpt,350M,1,4096,4096,581.4271926879883,1198.2656478881836,84.03125,0.0,7.96875,0.0,8.0,8.0,16.0,TELayerNormMlpDropout
gpt,350M,2,4096,4096,767.9999828338623,1936.1792087554932,168.0625,0.0,15.9375,0.0,16.0,16.0,16.0,TELayerNormMlpDropout
gpt,350M,3,4096,4096,1217.3312187194824,2826.649570465088,252.09375,0.0,23.90625,0.0,24.0,24.0,16.0,TELayerNormMlpDropout
